activity,events
W_Validate application,209496
W_Call after offers,191092
W_Call incomplete files,168529
W_Complete application,148900
W_Handle leads,47264
O_Create Offer,42995
O_Created,42995
O_Sent (mail and online),39707
A_Validating,38816
A_Create Application,31509
A_Concept,31509
A_Accepted,31509
A_Complete,31362
O_Returned,23305
A_Incomplete,23055
O_Cancelled,20898
A_Submitted,20423
O_Accepted,17228
A_Pending,17228
A_Cancelled,10431
O_Refused,4695
A_Denied,3753
W_Assess potential fraud,3282
O_Sent (online only),2026
W_Shortened completion ,238
W_Personal Loan collection,22
