submit_month,n,n_open,completion_rate,median_days_closed,p90_days_closed
2016-01,2194,0,1.0,17.710420069444446,43.01343881712963
2016-02,2412,0,1.0,17.817858883101856,33.64499386342593
2016-03,2454,0,1.0,16.95537139467593,32.69914715740741
2016-04,2177,0,1.0,18.94217755787037,34.58751483564815
2016-05,2068,0,1.0,16.910734224537038,38.18507586111111
2016-06,3001,0,1.0,20.314760752314815,36.67426200231482
2016-07,3039,0,1.0,20.082824837962963,35.96579077314815
2016-08,3085,0,1.0,21.69744880787037,35.76265058564815
2016-09,3042,0,1.0,21.088815625000002,34.79591430787037
2016-10,2995,1,0.9996661101836394,18.932891302083334,34.769663083333334
2016-11,2676,11,0.9958893871449925,18.83696892361111,34.42733396759259
2016-12,2366,86,0.9636517328825022,16.933739635416668,32.518998859953705
