group,n,p,e_mean,r_mean_r_amount,eta_r_amount,r_mean_r_amount_years,eta_r_amount_years,r_mean_interest_total,eta_interest_total,grouping
Limit raise,3162,0.7334,0.5615,23605.9207,30834.4175,211909.5882,276799.5715,5420.023,7079.7176,case:ApplicationType
New credit,25969,0.5267,0.6231,18036.1508,15246.0017,140429.7985,118705.6467,3464.3372,2928.4126,case:ApplicationType
Boat,194,0.5619,0.5163,24141.2844,26271.4691,189407.7982,206120.8108,4615.9877,5023.2944,case:LoanGoal
Business goal,29,0.2759,0.715,21312.5,8222.4179,156781.25,60486.6135,3979.7925,1535.4143,case:LoanGoal
Car,8620,0.5148,0.548,14838.6359,13939.7559,101849.2145,95679.4954,2615.9326,2457.4673,case:LoanGoal
Caravan / Camper,354,0.5706,0.5171,18922.5248,20881.3896,139832.8383,154308.3714,3434.3616,3789.8877,case:LoanGoal
Debt restructuring,2,0.0,0.1738,,,,,,,case:LoanGoal
Existing loan takeover,5159,0.5524,0.6938,22593.5684,17991.0591,184117.3473,146611.0183,4458.5869,3550.3334,case:LoanGoal
Extra spending limit,565,0.5398,0.5731,15733.9344,14820.2992,133916.5301,126140.2896,3468.4327,3267.0284,case:LoanGoal
Home improvement,7032,0.5897,0.5967,19038.8715,18815.455,158394.9853,156536.2589,3940.1037,3893.8675,case:LoanGoal
Motorcycle,264,0.5,0.5349,12682.5758,11855.4505,86302.5884,80674.1537,2284.5123,2135.5222,case:LoanGoal
Not speficied,1000,0.411,0.5721,18759.023,13476.2722,150243.5921,107933.3155,3714.4903,2668.4482,case:LoanGoal
"Other, see explanation",2763,0.5121,0.6251,19846.5583,16259.7393,159951.0984,131043.5354,3972.5996,3254.6416,case:LoanGoal
Remaining debt home,770,0.6455,1.0422,23563.9336,14594.2696,237705.55,147222.4012,5771.102,3574.3191,case:LoanGoal
Tax payments,146,0.4658,0.5452,15150.1029,12941.6275,119297.598,101907.233,3054.7475,2609.4479,case:LoanGoal
Unknown,2233,0.6341,0.6751,21629.5056,20315.3699,185054.4197,173811.1378,4583.0627,4304.6113,case:LoanGoal
False,10289,0.6475,0.6505,21617.3461,21516.4317,183614.6224,182757.4695,4557.4943,4536.219,has_submitted
True,18842,0.4955,0.5978,16864.1684,13977.0128,127368.9947,105563.347,3170.0595,2627.3434,has_submitted
"(10000.0, 15500.0]",5174,0.5856,0.595,14380.3663,14154.2071,100638.4321,99055.6972,2586.0787,2545.4076,amount_band
"(15500.0, 25000.0]",5554,0.5852,0.63,21101.1938,19598.7501,168160.1018,156186.7939,4069.327,3779.5834,amount_band
"(25000.0, 450000.0]",4913,0.5693,0.7345,38378.6932,29747.3257,344824.8913,267273.7781,8147.723,6315.3002,amount_band
"(599.999, 6500.0]",5328,0.4302,0.5316,6294.1876,5093.2435,34609.4895,28005.9268,1082.8508,876.2406,amount_band
"(6500.0, 10000.0]",5216,0.5199,0.5722,9561.2402,8688.4554,59579.6713,54141.0222,1778.8445,1616.4651,amount_band
0 (미기재),2946,0.6507,0.6635,21703.5368,21284.4844,185457.7617,181876.9388,4591.1685,4502.5221,amount_band
