c_over_m,negative_segments,application_share,effort_share
437.4418,0,0.0,0.0
519.557,0,0.0,0.0
617.0865,0,0.0,0.0
732.924,0,0.0,0.0
870.5062,0,0.0,0.0
1033.9148,0,0.0,0.0
1227.9979,0,0.0,0.0
1458.5137,0,0.0,0.0
1732.3012,0,0.0,0.0
2057.4833,0,0.0,0.0
2443.7074,0,0.0,0.0
2902.4323,0,0.0,0.0
3447.2676,0,0.0,0.0
4094.3775,0,0.0,0.0
4862.9609,3,0.1127,0.0959
5775.8203,5,0.1501,0.1298
6860.0387,7,0.2036,0.1792
8147.7831,8,0.2224,0.1984
9677.2587,11,0.313,0.2815
11493.8426,13,0.3636,0.3293
13651.4298,16,0.4331,0.4018
16214.0323,20,0.5617,0.5286
19257.6782,24,0.6839,0.6594
22872.6677,29,0.7958,0.7733
27166.2513,31,0.8418,0.8237
32265.8126,38,0.973,0.9699
38322.6471,38,0.973,0.9699
45516.4512,39,1.0,1.0
54060.653,39,1.0,1.0
64208.7449,39,1.0,1.0
76261.8039,39,1.0,1.0
90577.4245,39,1.0,1.0
107580.3272,39,1.0,1.0
127774.9602,39,1.0,1.0
151760.4648,39,1.0,1.0
180248.4511,39,1.0,1.0
214084.1105,39,1.0,1.0
254271.2911,39,1.0,1.0
302002.28,39,1.0,1.0
358693.1766,39,1.0,1.0
426025.906,39,1.0,1.0
