segment,n,p,eta,eta_I,min_margin_share
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Car",1908,0.3973,4822.7997,724.3395,0.0795
"(599.999, 6500.0] | 신규·A_Submitted 있음 | 용도 불명",782,0.3529,4374.4179,778.3631,0.074
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Existing loan takeover",494,0.4211,4737.804,872.1679,0.066
"(599.999, 6500.0] | 신규·A_Submitted 없음",686,0.5204,5512.1476,968.7386,0.0595
"(599.999, 6500.0] | 신규·A_Submitted 있음 | 기타",368,0.4103,5181.3897,974.6311,0.0591
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Home improvement",1034,0.4932,5833.8627,1077.3662,0.0535
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | 용도 불명",478,0.4268,6490.489,1201.7621,0.0479
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Existing loan takeover",530,0.4528,6880.5051,1271.599,0.0453
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Car",1667,0.4721,8458.4372,1324.5788,0.0435
"(6500.0, 10000.0] | 신규·A_Submitted 없음 | Car",314,0.5191,9128.7022,1557.549,0.037
"(6500.0, 10000.0] | 신규·A_Submitted 없음 | 기타",579,0.5976,8472.9799,1771.7387,0.0325
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Home improvement",1015,0.5704,10024.1806,1971.6311,0.0292
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | 용도 불명",414,0.5048,11221.8642,2015.3213,0.0286
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Car",1458,0.5137,13761.326,2112.7865,0.0273
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Existing loan takeover",635,0.5764,12932.6339,2382.7409,0.0242
"(10000.0, 15500.0] | 신규·A_Submitted 없음",960,0.6396,13318.0177,2388.8521,0.0241
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Car",1002,0.5259,17931.1682,2857.9115,0.0202
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Home improvement",938,0.6119,15796.5711,2884.7947,0.02
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Existing loan takeover",922,0.5412,16065.241,2973.216,0.0194
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | 용도 불명",477,0.4969,16796.1605,3065.8316,0.0188
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | 기타",314,0.5446,14952.0523,3078.9454,0.0187
"(6500.0, 10000.0] | 한도 증액",369,0.6938,13234.7011,3167.5019,0.0182
"(15500.0, 25000.0] | 신규·A_Submitted 없음 | Existing loan takeover",308,0.6396,19189.8485,3654.3636,0.0158
금액 미기재 | 신규·A_Submitted 없음 | 용도 불명,1664,0.6052,18218.4581,3687.4351,0.0156
"(15500.0, 25000.0] | 신규·A_Submitted 없음 | 기타",848,0.6486,19985.8848,3846.012,0.015
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Car",336,0.497,21885.4004,3871.2191,0.0149
금액 미기재 | 신규·A_Submitted 없음 | 기타,545,0.6569,19527.3126,3942.7345,0.0146
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Home improvement",937,0.555,21572.3108,4318.1556,0.0133
"(10000.0, 15500.0] | 한도 증액",494,0.7308,21025.008,4705.1582,0.0122
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | 용도 불명",543,0.442,26239.5744,5373.4909,0.0107
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Home improvement",755,0.4728,25920.5894,5406.9162,0.0107
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Existing loan takeover",1003,0.5533,28711.2535,5858.3562,0.0098
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | 기타",507,0.6075,28980.0409,6087.0244,0.0095
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | Existing loan takeover",382,0.6152,31356.694,6297.3652,0.0091
"(15500.0, 25000.0] | 한도 증액",746,0.7359,30070.8252,6753.3461,0.0085
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | Home improvement",334,0.6228,31640.8244,6832.6663,0.0084
금액 미기재 | 한도 증액 | 기타,325,0.7631,31605.0562,7182.4226,0.008
금액 미기재 | 한도 증액 | 용도 불명,410,0.739,31347.6344,7380.7349,0.0078
"(25000.0, 450000.0] | 한도 증액",762,0.748,42602.5906,9857.5807,0.0058
