segment,n,p,r_mean,e_mean,eta,rank_p,rank_eta,rank_gap,quadrant
"(6500.0, 10000.0] | 한도 증액",369,0.6938,9170.3125,0.4807,13234.7011,6,25,-19,성사율↑·효율↓
"(10000.0, 15500.0] | 신규·표식 없음",960,0.6396,14485.114,0.6956,13318.0177,10,24,-14,성사율↑·효율↓
"(6500.0, 10000.0] | 신규·표식 없음 | 기타",579,0.5976,9514.0173,0.671,8472.9799,16,30,-14,성사율↑·효율↓
"(599.999, 6500.0] | 신규·표식 없음",686,0.5204,6135.5322,0.5793,5512.1476,24,35,-11,성사율↓·효율↓
"(6500.0, 10000.0] | 신규·A_Submitted | Home improvement",1015,0.5704,9820.38,0.5588,10024.1806,18,28,-10,성사율↑·효율↓
"(15500.0, 25000.0] | 신규·A_Submitted | 용도 불명",477,0.4969,21776.3713,0.6442,16796.1605,29,19,10,성사율↓·효율↑
"(25000.0, 450000.0] | 신규·A_Submitted | Existing loan takeover",1003,0.5533,40000.6306,0.7709,28711.2535,20,8,12,성사율↑·효율↑
"(25000.0, 450000.0] | 신규·A_Submitted | Car",336,0.497,32334.4311,0.7343,21885.4004,28,11,17,성사율↓·효율↑
"(25000.0, 450000.0] | 신규·A_Submitted | Home improvement",755,0.4728,37462.605,0.6834,25920.5894,31,10,21,성사율↓·효율↑
"(25000.0, 450000.0] | 신규·A_Submitted | 용도 불명",543,0.442,39184.375,0.66,26239.5744,34,9,25,성사율↓·효율↑
