segment,n,p,r_mean,e_mean,eta,rank_p,rank_eta,rank_gap,quadrant,eta_amount_effort,eta_years_effort,eta_amount_events,eta_years_events,eta_I
"(25000.0, 450000.0] | 한도 증액",762,0.748,39050.3509,0.6857,42602.5906,2,1,1,성사율↑·효율↑,42602.5906,396712.4568,797.8601,7429.6192,9857.5807
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | Home improvement",334,0.6228,39620.1923,0.7798,31640.8244,11,2,9,성사율↑·효율↑,31640.8244,295976.7285,660.3895,6177.4595,6832.6663
금액 미기재 | 한도 증액 | 기타,325,0.7631,23671.1694,0.5715,31605.0562,1,3,-2,성사율↑·효율↑,31605.0562,281412.8823,506.8598,4513.1029,7182.4226
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | Existing loan takeover",382,0.6152,38988.0851,0.7649,31356.694,12,4,8,성사율↑·효율↑,31356.694,272970.2992,625.2354,5442.8794,6297.3652
금액 미기재 | 한도 증액 | 용도 불명,410,0.739,23954.4554,0.5647,31347.6344,3,5,-2,성사율↑·효율↑,31347.6344,289110.2543,542.7097,5005.2565,7380.7349
"(15500.0, 25000.0] | 한도 증액",746,0.7359,21342.4044,0.5223,30070.8252,4,6,-2,성사율↑·효율↑,30070.8252,266712.8895,462.3542,4100.846,6753.3461
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | 기타",507,0.6075,37677.6136,0.7898,28980.0409,14,7,7,성사율↑·효율↑,28980.0409,260802.6711,578.5863,5206.9232,6087.0244
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Existing loan takeover",1003,0.5533,40000.6306,0.7709,28711.2535,20,8,12,성사율↑·효율↑,28711.2535,251401.6772,576.6624,5049.3755,5858.3562
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | 용도 불명",543,0.442,39184.375,0.66,26239.5744,34,9,25,성사율↓·효율↑,26239.5744,230158.3927,536.7416,4707.9876,5373.4909
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Home improvement",755,0.4728,37462.605,0.6834,25920.5894,31,10,21,성사율↓·효율↑,25920.5894,230844.2214,527.8297,4700.7591,5406.9162
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Car",336,0.497,32334.4311,0.7343,21885.4004,28,11,17,성사율↓·효율↑,21885.4004,166787.7646,485.1181,3697.066,3871.2191
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Home improvement",937,0.555,21760.0962,0.5598,21572.3108,19,12,7,성사율↑·효율↑,21572.3108,180390.476,373.6379,3124.4088,4318.1556
"(10000.0, 15500.0] | 한도 증액",494,0.7308,14081.9945,0.4894,21025.008,5,13,-8,성사율↑·효율↑,21025.008,172251.8189,305.3397,2501.5597,4705.1582
"(15500.0, 25000.0] | 신규·A_Submitted 없음 | 기타",848,0.6486,21221.6364,0.6887,19985.8848,8,14,-6,성사율↑·효율↑,19985.8848,161105.721,364.6215,2939.2051,3846.012
금액 미기재 | 신규·A_Submitted 없음 | 기타,545,0.6569,20598.1844,0.6929,19527.3126,7,15,-8,성사율↑·효율↑,19527.3126,162511.1467,340.6389,2834.8812,3942.7345
