amount_band,n_base,n_other,p_base,p_other,value_base,value_other,e_base,e_other,eta_base,delta_value,delta_effort,incremental_eta,class,incremental_eta_I,incremental_min_margin_share,below_segment_eta_floor,grouping,comparison
"(10000.0, 15500.0]",3549,1350,0.5785,0.6074,8257.0611,8877.8519,0.5564,0.6767,14840.9679,620.7907,0.1203,5159.0962,공수↑·가치↑,1333.369,0.0432,False,group_any,multi - single
"(15500.0, 25000.0]",3895,1659,0.5723,0.6154,12126.6444,12866.5461,0.5749,0.7594,21092.6273,739.9017,0.1845,4011.1502,공수↑·가치↑,792.5358,0.0727,True,group_any,multi - single
"(25000.0, 450000.0]",3248,1374,0.545,0.6332,21105.5557,24086.1426,0.6562,0.9015,32163.979,2980.5869,0.2453,12152.5565,공수↑·가치↑,2425.2768,0.0237,False,group_any,multi - single
"(599.999, 6500.0]",4078,1194,0.4166,0.4698,2503.1996,3359.8241,0.5032,0.631,4974.165,856.6245,0.1278,6704.0172,공수↑·가치↑,1539.9771,0.0374,False,group_any,multi - single
"(6500.0, 10000.0]",3573,1379,0.5055,0.5577,4701.2198,5649.1842,0.5358,0.6562,8774.8627,947.9644,0.1205,7867.7213,공수↑·가치↑,1415.4499,0.0407,False,group_any,multi - single
0 (미기재),2212,732,0.6478,0.6598,13942.9837,14680.1913,0.6105,0.8221,22837.168,737.2075,0.2115,3485.3407,공수↑·가치↑,80.332,0.717,True,group_any,multi - single
"(10000.0, 15500.0]",3549,590,0.5785,0.5424,8257.0611,8159.2373,0.5564,0.5436,14840.9679,-97.8239,-0.0128,7640.2808,공수↓·가치↓,-1180.5504,,False,group_d1_later,multi_same - single
"(15500.0, 25000.0]",3895,625,0.5723,0.5056,12126.6444,10794.24,0.5749,0.5951,21092.6273,-1332.4044,0.0202,-66071.9062,공수↑·가치↓,-14890.4581,,False,group_d1_later,multi_same - single
"(25000.0, 450000.0]",3248,480,0.545,0.4625,21105.5557,18553.0208,0.6562,0.6714,32163.979,-2552.5349,0.0153,-167298.9991,공수↑·가치↓,-47748.9277,,False,group_d1_later,multi_same - single
"(599.999, 6500.0]",4078,616,0.4166,0.4058,2503.1996,2643.3003,0.5032,0.5371,4974.165,140.1007,0.0338,4142.4948,공수↑·가치↑,956.3405,0.0602,True,group_d1_later,multi_same - single
"(6500.0, 10000.0]",3573,658,0.5055,0.4772,4701.2198,4849.0881,0.5358,0.5267,8774.8627,147.8683,-0.0091,-16235.0488,공수↓·가치↑,-2997.0573,,False,group_d1_later,multi_same - single
0 (미기재),2212,317,0.6478,0.5268,13942.9837,10883.4385,0.6105,0.6333,22837.168,-3059.5452,0.0228,-134188.0849,공수↑·가치↓,-33007.975,,False,group_d1_later,multi_same - single
"(10000.0, 15500.0]",3549,760,0.5785,0.6579,8257.0611,9435.7237,0.5564,0.7801,14840.9679,1178.6625,0.2237,5269.3518,공수↑·가치↑,1221.6588,0.0471,False,group_d1_later,multi_later - single
"(15500.0, 25000.0]",3895,1034,0.5723,0.6818,12126.6444,14119.1489,0.5749,0.8587,21092.6273,1992.5045,0.2838,7021.5651,공수↑·가치↑,1466.1982,0.0393,False,group_d1_later,multi_later - single
"(25000.0, 450000.0]",3248,894,0.545,0.7248,21105.5557,27056.9463,0.6562,1.0249,32163.979,5951.3906,0.3688,16139.0225,공수↑·가치↑,3539.8827,0.0163,False,group_d1_later,multi_later - single
"(599.999, 6500.0]",4078,578,0.4166,0.5381,2503.1996,4123.455,0.5032,0.7312,4974.165,1620.2554,0.2279,7109.1166,공수↑·가치↑,1632.278,0.0353,False,group_d1_later,multi_later - single
"(6500.0, 10000.0]",3573,721,0.5055,0.6311,4701.2198,6379.3689,0.5358,0.7745,8774.8627,1678.1491,0.2388,7028.6126,공수↑·가치↑,1261.8338,0.0456,False,group_d1_later,multi_later - single
0 (미기재),2212,415,0.6478,0.7614,13942.9837,17580.3614,0.6105,0.9662,22837.168,3637.3777,0.3557,10226.8751,공수↑·가치↑,1700.5864,0.0339,False,group_d1_later,multi_later - single
"(10000.0, 15500.0]",3549,426,0.5785,0.5117,8257.0611,7564.4366,0.5564,0.5266,14840.9679,-692.6245,-0.0298,23244.8848,공수↓·가치↓,1933.4528,,False,group_d2_later,multi_same - single
"(15500.0, 25000.0]",3895,448,0.5723,0.4799,12126.6444,10310.4911,0.5749,0.5895,21092.6273,-1816.1533,0.0146,-124782.96,공수↑·가치↓,-24628.6733,,False,group_d2_later,multi_same - single
"(25000.0, 450000.0]",3248,348,0.545,0.4339,21105.5557,17241.8103,0.6562,0.6496,32163.979,-3863.7454,-0.0066,585041.6526,공수↓·가치↓,144917.6586,,False,group_d2_later,multi_same - single
"(599.999, 6500.0]",4078,476,0.4166,0.3592,2503.1996,2150.1534,0.5032,0.4964,4974.165,-353.0462,-0.0068,51801.6199,공수↓·가치↓,9713.6967,,False,group_d2_later,multi_same - single
"(6500.0, 10000.0]",3573,508,0.5055,0.4488,4701.2198,4428.4449,0.5358,0.5126,8774.8627,-272.7749,-0.0231,11799.7392,공수↓·가치↓,3200.2445,,False,group_d2_later,multi_same - single
0 (미기재),2212,204,0.6478,0.5637,13942.9837,12600.7353,0.6105,0.6485,22837.168,-1342.2484,0.0379,-35373.6852,공수↑·가치↓,-10934.504,,False,group_d2_later,multi_same - single
