,n_base,n_other,p_base,p_other,value_base,value_other,e_base,e_other,eta_base,delta_value,delta_effort,incremental_eta,class,below_segment_eta_floor
"(10000.0, 15500.0] | 신규·A_Submitted | Car",1030,428,0.4942,0.5607,6995.1456,7980.4907,0.5017,0.5959,13943.9047,985.345,0.0943,10451.7236,공수↑·가치↑,False
"(10000.0, 15500.0] | 신규·A_Submitted | Existing loan takeover",457,178,0.5755,0.5787,8188.7309,8939.8876,0.627,0.7071,13059.4676,751.1568,0.08,9387.1063,공수↑·가치↑,False
"(10000.0, 15500.0] | 신규·A_Submitted | Home improvement",661,277,0.6051,0.6282,8931.4675,9153.6101,0.5236,0.6793,17058.1938,222.1426,0.1557,1427.0281,공수↑·가치↑,True
"(10000.0, 15500.0] | 신규·A_Submitted | 용도 불명",289,125,0.4637,0.6,6533.91,8241.6,0.5787,0.7426,11290.3155,1707.69,0.1639,10421.2051,공수↑·가치↑,False
"(10000.0, 15500.0] | 신규·표식 없음",663,297,0.638,0.6431,9094.5098,9643.771,0.6673,0.7589,13629.4224,549.2612,0.0917,5991.4929,공수↑·가치↑,False
"(15500.0, 25000.0] | 신규·A_Submitted | Car",662,340,0.5015,0.5735,9999.1692,11380.7353,0.5427,0.6639,18426.2983,1381.5661,0.1212,11398.3147,공수↑·가치↑,False
"(15500.0, 25000.0] | 신규·A_Submitted | Existing loan takeover",633,289,0.5292,0.5675,11093.3649,12133.218,0.6777,0.7833,16368.3707,1039.8531,0.1055,9854.1619,공수↑·가치↑,False
"(15500.0, 25000.0] | 신규·A_Submitted | Home improvement",637,300,0.5275,0.6133,11737.7551,12794.3333,0.5033,0.6797,23321.4464,1056.5782,0.1764,5988.3596,공수↑·가치↑,False
"(15500.0, 25000.0] | 신규·A_Submitted | 기타",211,103,0.5261,0.5825,10819.6682,12225.2427,0.6805,0.9059,15899.0986,1405.5745,0.2254,6235.6861,공수↑·가치↑,False
"(15500.0, 25000.0] | 신규·A_Submitted | 용도 불명",329,148,0.4559,0.5878,9817.9331,13046.6216,0.5791,0.7888,16953.7378,3228.6885,0.2097,15393.9042,공수↑·가치↑,False
"(15500.0, 25000.0] | 신규·표식 없음 | Existing loan takeover",211,97,0.6256,0.6701,13169.6682,14178.3505,0.6436,0.8318,20463.7227,1008.6823,0.1882,5359.2111,공수↑·가치↑,False
"(15500.0, 25000.0] | 신규·표식 없음 | 기타",550,298,0.6291,0.6846,13507.1818,14238.0872,0.5954,0.8608,22685.4454,730.9054,0.2654,2753.6716,공수↑·가치↑,True
"(15500.0, 25000.0] | 한도 증액",662,84,0.7356,0.7381,15700.8761,15750.0,0.5032,0.6732,31204.0881,49.1239,0.17,288.8968,공수↑·가치↑,True
"(25000.0, 450000.0] | 신규·A_Submitted | Car",230,106,0.4435,0.6132,14788.2609,18854.2453,0.6632,0.8887,22299.5535,4065.9844,0.2256,18025.7873,공수↑·가치↑,False
"(25000.0, 450000.0] | 신규·A_Submitted | Existing loan takeover",689,314,0.4993,0.672,19709.0929,27454.7293,0.6817,0.9666,28910.2904,7745.6364,0.2849,27189.7694,공수↑·가치↑,False
"(25000.0, 450000.0] | 신규·A_Submitted | Home improvement",498,257,0.4378,0.5409,17005.3213,19087.5486,0.5876,0.869,28938.4689,2082.2274,0.2813,7401.5368,공수↑·가치↑,False
"(25000.0, 450000.0] | 신규·A_Submitted | 용도 불명",348,195,0.3994,0.5179,16270.546,19190.2564,0.5689,0.8227,28599.23,2919.7104,0.2537,11506.9207,공수↑·가치↑,False
"(25000.0, 450000.0] | 신규·표식 없음 | Existing loan takeover",244,138,0.5943,0.6522,22677.0492,26297.1014,0.703,0.8744,32257.8338,3620.0523,0.1714,21124.0135,공수↑·가치↑,False
"(25000.0, 450000.0] | 신규·표식 없음 | Home improvement",242,92,0.6074,0.663,24636.7769,24770.6522,0.7482,0.8628,32926.5839,133.8753,0.1146,1168.0382,공수↑·가치↑,True
"(25000.0, 450000.0] | 신규·표식 없음 | 기타",340,167,0.5588,0.7066,20711.4118,27322.3054,0.6807,1.0121,30428.4277,6610.8936,0.3314,19948.5793,공수↑·가치↑,False
"(25000.0, 450000.0] | 한도 증액",657,105,0.7382,0.8095,28770.1674,31968.5714,0.6612,0.8388,43513.1371,3198.404,0.1776,18006.0281,공수↑·가치↑,False
"(599.999, 6500.0] | 신규·A_Submitted | Car",1493,415,0.3818,0.453,2243.5117,3063.5494,0.4802,0.5811,4671.8297,820.0377,0.1009,8125.6212,공수↑·가치↑,False
"(599.999, 6500.0] | 신규·A_Submitted | Existing loan takeover",377,117,0.3899,0.5214,2298.1432,3839.3162,0.4889,0.7981,4700.9271,1541.173,0.3092,4983.9609,공수↑·가치↑,False
"(599.999, 6500.0] | 신규·A_Submitted | Home improvement",806,228,0.4876,0.5132,2934.4913,3837.0614,0.5052,0.6502,5809.1457,902.5701,0.145,6224.3571,공수↑·가치↑,False
"(599.999, 6500.0] | 신규·A_Submitted | 기타",306,62,0.3791,0.5645,2312.4183,4475.1129,0.4761,0.7165,4856.7795,2162.6946,0.2403,8998.14,공수↑·가치↑,False
"(599.999, 6500.0] | 신규·A_Submitted | 용도 불명",576,206,0.3524,0.3544,2344.9653,2509.466,0.5551,0.5206,4224.7077,164.5007,-0.0345,-4767.1331,공수↓·가치↑,False
"(599.999, 6500.0] | 신규·표식 없음",520,166,0.5192,0.5241,3016.5096,3745.7831,0.5353,0.7168,5634.684,729.2735,0.1815,4018.3958,공수↑·가치↑,True
"(6500.0, 10000.0] | 신규·A_Submitted | Car",1226,441,0.4519,0.5283,4190.6607,5166.6667,0.4961,0.6091,8447.8761,976.006,0.113,8633.6161,공수↑·가치↑,False
"(6500.0, 10000.0] | 신규·A_Submitted | Existing loan takeover",368,162,0.4266,0.5123,3887.3641,5287.5,0.583,0.7275,6667.77,1400.1359,0.1445,9688.1776,공수↑·가치↑,False
