segment,n,effort_hours,eta,rate_denied,rate_denied_lo,rate_denied_hi,effort_share_denied,rate_auto_cancel,rate_auto_cancel_lo,rate_auto_cancel_hi,effort_share_auto_cancel,rate_manual_cancel,rate_manual_cancel_lo,rate_manual_cancel_hi,effort_share_manual_cancel,failed_effort_share
"(599.999, 6500.0] | 신규·A_Submitted | 용도 불명",782,426.9482,4374.4179,0.1688,0.1479,0.192,0.2483,0.3824,0.3542,0.4113,0.1742,0.0959,0.08,0.1146,0.1009,0.5233
"(599.999, 6500.0] | 신규·A_Submitted | Existing loan takeover",494,277.6814,4737.804,0.1761,0.1497,0.206,0.2255,0.3198,0.2864,0.3553,0.16,0.083,0.0648,0.1058,0.0588,0.4443
"(599.999, 6500.0] | 신규·A_Submitted | Car",1908,958.1439,4822.7997,0.1619,0.1486,0.1763,0.2278,0.3501,0.3324,0.3683,0.1689,0.0907,0.0804,0.1021,0.0861,0.4828
"(599.999, 6500.0] | 신규·A_Submitted | 기타",368,190.1144,5181.3897,0.1576,0.1289,0.1913,0.246,0.3397,0.3004,0.3813,0.1519,0.0924,0.0704,0.1203,0.0567,0.4546
"(599.999, 6500.0] | 신규·표식 없음",686,397.3742,5512.1476,0.1443,0.1236,0.1678,0.1702,0.2405,0.2147,0.2684,0.1135,0.0948,0.0779,0.1148,0.0631,0.3468
"(599.999, 6500.0] | 신규·A_Submitted | Home improvement",1034,555.3867,5833.8627,0.1567,0.139,0.1762,0.2154,0.2824,0.26,0.306,0.13,0.0677,0.0559,0.0817,0.072,0.4174
"(6500.0, 10000.0] | 신규·A_Submitted | 용도 불명",478,301.2652,6490.489,0.1653,0.1392,0.1951,0.3192,0.3117,0.278,0.3475,0.1267,0.0962,0.0763,0.1208,0.0587,0.5047
"(6500.0, 10000.0] | 신규·A_Submitted | Existing loan takeover",530,332.4066,6880.5051,0.1453,0.1219,0.1723,0.2143,0.3113,0.2793,0.3453,0.1431,0.0906,0.0721,0.1132,0.0737,0.431
"(6500.0, 10000.0] | 신규·A_Submitted | Car",1667,876.7873,8458.4372,0.1284,0.1155,0.1425,0.2086,0.3059,0.2877,0.3248,0.1421,0.0936,0.0825,0.106,0.1008,0.4515
"(6500.0, 10000.0] | 신규·표식 없음 | 기타",579,388.5115,8472.9799,0.1278,0.1067,0.1524,0.1468,0.2107,0.1842,0.2399,0.0788,0.0639,0.0491,0.0827,0.0394,0.265
"(6500.0, 10000.0] | 신규·표식 없음 | Car",314,175.6548,9128.7022,0.1051,0.0799,0.137,0.1348,0.2866,0.2466,0.3303,0.1252,0.0892,0.0661,0.1193,0.0641,0.324
"(6500.0, 10000.0] | 신규·A_Submitted | Home improvement",1015,567.2284,10024.1806,0.1153,0.0998,0.1328,0.1648,0.2552,0.2333,0.2783,0.1155,0.0591,0.0481,0.0725,0.0601,0.3404
"(10000.0, 15500.0] | 신규·A_Submitted | 용도 불명",414,260.0727,11221.8642,0.1498,0.1232,0.1809,0.1902,0.2585,0.2247,0.2953,0.1152,0.087,0.0668,0.1125,0.0984,0.4038
"(10000.0, 15500.0] | 신규·A_Submitted | Existing loan takeover",635,412.4102,12932.6339,0.1417,0.1205,0.166,0.1344,0.2283,0.2021,0.2569,0.0994,0.0535,0.0407,0.0702,0.0494,0.2833
"(6500.0, 10000.0] | 한도 증액",369,177.3822,13234.7011,0.0379,0.0247,0.0579,0.0499,0.1951,0.1635,0.2312,0.0781,0.0732,0.0538,0.0987,0.1108,0.2388
"(10000.0, 15500.0] | 신규·표식 없음",960,667.8066,13318.0177,0.1021,0.0871,0.1193,0.151,0.1854,0.1657,0.2069,0.0701,0.0729,0.0603,0.088,0.0536,0.2747
