,n,customer_share,bank_days_median,customer_days_median,bank_active_share_median,eta
"(599.999, 6500.0] | 신규·A_Submitted 있음 | 용도 불명",782,0.823,3.0024,18.3879,0.0058,4374.4179
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Existing loan takeover",494,0.8152,3.1854,16.0135,0.0055,4737.804
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Car",1908,0.8317,2.417,14.8247,0.006,4822.7997
"(599.999, 6500.0] | 신규·A_Submitted 있음 | 기타",368,0.832,2.8177,13.9596,0.0056,5181.3897
"(599.999, 6500.0] | 신규·A_Submitted 없음",686,0.8801,1.0994,12.0318,0.0222,5512.1476
"(599.999, 6500.0] | 신규·A_Submitted 있음 | Home improvement",1034,0.8117,2.9466,14.8079,0.0057,5833.8627
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | 용도 불명",478,0.8216,2.8153,15.7678,0.0061,6490.489
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Existing loan takeover",530,0.8063,3.1822,15.877,0.0059,6880.5051
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Car",1667,0.8316,2.6357,12.9522,0.006,8458.4372
"(6500.0, 10000.0] | 신규·A_Submitted 없음 | 기타",579,0.8698,1.7599,13.6335,0.0172,8472.9799
"(6500.0, 10000.0] | 신규·A_Submitted 없음 | Car",314,0.8937,0.9265,12.7837,0.0305,9128.7022
"(6500.0, 10000.0] | 신규·A_Submitted 있음 | Home improvement",1015,0.8211,2.9369,14.8992,0.006,10024.1806
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | 용도 불명",414,0.8098,3.4244,14.9013,0.0061,11221.8642
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Existing loan takeover",635,0.7992,3.6556,13.9026,0.0062,12932.6339
"(6500.0, 10000.0] | 한도 증액",369,0.8051,2.1435,9.3687,0.0065,13234.7011
"(10000.0, 15500.0] | 신규·A_Submitted 없음",960,0.8685,1.7698,13.0327,0.0175,13318.0177
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Car",1458,0.8264,2.7032,12.7541,0.0061,13761.326
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | 기타",314,0.8163,3.4528,18.8811,0.0074,14952.0523
"(10000.0, 15500.0] | 신규·A_Submitted 있음 | Home improvement",938,0.8186,3.1702,15.7571,0.0061,15796.5711
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Existing loan takeover",922,0.7967,3.8689,17.1244,0.0059,16065.241
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | 용도 불명",477,0.8089,3.156,16.2418,0.0065,16796.1605
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Car",1002,0.8223,2.7999,12.9896,0.0061,17931.1682
금액 미기재 | 신규·A_Submitted 없음 | 용도 불명,1664,0.8714,1.1901,12.8413,0.0223,18218.4581
"(15500.0, 25000.0] | 신규·A_Submitted 없음 | Existing loan takeover",308,0.8723,2.0256,15.9728,0.0161,19189.8485
금액 미기재 | 신규·A_Submitted 없음 | 기타,545,0.8425,2.6469,13.9893,0.0119,19527.3126
"(15500.0, 25000.0] | 신규·A_Submitted 없음 | 기타",848,0.8597,1.92,12.9146,0.0161,19985.8848
"(10000.0, 15500.0] | 한도 증액",494,0.7881,2.6508,8.8242,0.0068,21025.008
"(15500.0, 25000.0] | 신규·A_Submitted 있음 | Home improvement",937,0.8184,3.342,18.7543,0.0055,21572.3108
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Car",336,0.7939,3.8057,16.1393,0.0053,21885.4004
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Home improvement",755,0.8206,3.9643,22.1762,0.006,25920.5894
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | 용도 불명",543,0.8128,3.7103,20.0422,0.0059,26239.5744
"(25000.0, 450000.0] | 신규·A_Submitted 있음 | Existing loan takeover",1003,0.7706,5.1832,16.5313,0.0054,28711.2535
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | 기타",507,0.8375,2.9236,13.7466,0.0141,28980.0409
"(15500.0, 25000.0] | 한도 증액",746,0.7693,3.0479,8.1876,0.0063,30070.8252
금액 미기재 | 한도 증액 | 용도 불명,410,0.7745,2.7782,7.8056,0.009,31347.6344
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | Existing loan takeover",382,0.843,3.0847,15.1384,0.012,31356.694
금액 미기재 | 한도 증액 | 기타,325,0.7629,3.2011,8.8318,0.0061,31605.0562
"(25000.0, 450000.0] | 신규·A_Submitted 없음 | Home improvement",334,0.834,3.0325,14.8567,0.0113,31640.8244
"(25000.0, 450000.0] | 한도 증액",762,0.7321,4.4176,9.1818,0.006,42602.5906
